country,manufacturer,name,cpu,year
UK,Acorn Computers Ltd,Acorn Atom,6502,1980
UK,Acorn Computers Ltd,BBC Micro,6502,1981
UK,Acorn Computers Ltd,Electron,6502,1983
UK,Acorn Computers Ltd,BBC Master,65SC12,1986
UK,Acorn Computers Ltd,Acorn Archimedes,ARM RISC,1987
UK,Acorn Computers Ltd,A7000,ARM RISC,1995
UK,Amstrad,CPC 464,Z80,1984
UK,Amstrad,CPC 664,Z80,1984
UK,Amstrad,CPC 6128,Z80,1984
UK,Amstrad,464 Plus,Z80,1990
UK,Amstrad,6128 Plus,Z80,1990
UK,Amstrad,PCW,Z80,1985
UK,Amstrad,PC-1512,8086,1986
China,Tsinghua University,CEC-I Zhonghua,6502,1986
USA,"APF Electronics, Inc.",Imagination Machine,6800,1979
USA,Apple Computer,Apple II,6502,1977
USA,Apple Computer,Apple IIe,6502,1983
USA,Apple Computer,Apple IIc,65C02,1984
USA,Apple Computer,Apple IIc Plus,65C02,1988
USA,Apple Computer,Apple II Plus,6502,1979
USA,Apple Computer,Apple IIGS,65C816,1986
UK,Apricot Computers,Apricot F1,8088,1984
Netherlands,Aster Computers,CT-80,Z80,1982
USA,"Atari, Inc.",Atari 400,6502,1979
USA,"Atari, Inc.",Atari 800,6502,1979
USA,"Atari, Inc.",Atari 1200XL,6502,1983
USA,"Atari, Inc.",Atari 600XL,6502,1983
USA,"Atari, Inc.",Atari 800XL,6502,1983
USA,"Atari, Inc.",Atari 65XE,6502C,1985
USA,"Atari, Inc.",Atari 130XE,6502C,1985
USA,Atari Corporation,Atari ST,68000,1985
USA,Atari Corporation,Atari TT,68030,1990
USA,Atari Corporation,Falcon,68030 + 56001,1992
USA,Bally Consumer Products,Bally Brain,Z80,1979
USA,Bally Consumer Products,Bally Astrocade,Z80,1977
Romania,Brasov Computer,CoBra,Z80,1986
UK,Camputers,Lynx,Z80,1983
USA,Coleco,Coleco Adam,Z80,1983
USA,Commodore,PET,6502,1977
USA,Commodore,VIC-20,6502,1980
USA,Commodore,Commodore 64,6510,1982
USA,Commodore,Commodore Executive 64,6510,1982
USA,Commodore,MAX Machine,6510,1982
USA,Commodore,Commodore 16,8501 (6502),1984
USA,Commodore,Commodore 116,8501 (6502),1984
USA,Commodore,Plus/4,8501 (6502),1984
USA,Commodore,Commodore 128,8502 (6502) / Z80,1985
USA,Commodore,Amiga,68000 (family),1985
Hong Kong,Comx World Operations,Comx-35,RCA 1802,1983
Belgium,Data Applications International,DAI Personal Computer,8080,1980
Hong Kong,Vtech,VTech Laser 200,Z80,1985
Hong Kong,EACA,Video Genie,Z80,1980
Hong Kong,EACA,Colour Genie,Z80,1983
Hong Kong,Rabbit,Rabbit RX83,Z80,1983
Czechoslovakia,Didaktik,Alpha,Z80,1986
